year,college,college_short,college_type,district,branch,community,quota,cutoff_mark
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Computer Science and Engineering,BCM,General,166.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Computer Science and Engineering,MBC,General,168.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Computer Science and Engineering,SC,General,150.0
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Computer Science and Engineering,SCA,General,152.5
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Computer Science and Engineering,OC,General,181.0
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Computer Science and Engineering,BC,General,173.0
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Computer Science and Engineering,BCM,General,168.5
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Computer Science and Engineering,MBC,General,165.0
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Computer Science and Engineering,SC,General,142.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electronics and Communication Engineering,OC,General,170.0
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electronics and Communication Engineering,BC,General,151.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electronics and Communication Engineering,BCM,General,159.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electronics and Communication Engineering,MBC,General,154.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electronics and Communication Engineering,SC,General,141.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electronics and Communication Engineering,SCA,General,133.5
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electronics and Communication Engineering,OC,General,169.5
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electronics and Communication Engineering,BC,General,156.5
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electronics and Communication Engineering,BCM,General,148.5
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electronics and Communication Engineering,MBC,General,152.0
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electronics and Communication Engineering,SC,General,126.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electrical and Electronics Engineering,OC,General,156.0
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electrical and Electronics Engineering,BC,General,147.0
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electrical and Electronics Engineering,BCM,General,141.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electrical and Electronics Engineering,MBC,General,141.0
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electrical and Electronics Engineering,SC,General,104.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electrical and Electronics Engineering,SCA,General,143.0
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electrical and Electronics Engineering,OC,General,151.5
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electrical and Electronics Engineering,BC,General,130.5
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electrical and Electronics Engineering,BCM,General,126.5
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electrical and Electronics Engineering,MBC,General,138.0
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Electrical and Electronics Engineering,SC,General,105.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Civil Engineering,OC,General,135.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Civil Engineering,BC,General,105.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Civil Engineering,BCM,General,90.0
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Civil Engineering,MBC,General,112.0
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Civil Engineering,SC,General,92.0
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Civil Engineering,OC,General,103.0
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Civil Engineering,BC,General,84.5
